Song Name,Artist,City,Rank
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,San Diego,16
Beggin,Måneskin,San Diego,17
abcdefu,GAYLE,San Diego,18
Shivers,Ed Sheeran,San Diego,19
INDUSTRY BABY,Lil Nas X & Jack Harlow,San Diego,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Detroit,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Detroit,2
Big Energy,Latto,Detroit,3
Super Gremlin,Kodak Black,Detroit,4
Scorpio,Moneybagg Yo,Detroit,5
Shivers,Ed Sheeran,Detroit,6
abcdefu,GAYLE,Detroit,7
Pope Is A Rockstar,SALES,Detroit,8
Better Days,"NEIKED, Mae Muller & Polo G",Detroit,9
For Tonight,GIVĒON,Detroit,10
Pressure,Ari Lennox,Detroit,11
Heat Waves,Glass Animals,Detroit,12
Easy On Me,Adele,Detroit,13
Beautiful Lies,Yung Bleu & Kehlani,Detroit,14
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Detroit,15
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Detroit,16
One Right Now,Post Malone & The Weeknd,Detroit,17
Need To Know,Doja Cat,Detroit,18
Oh My God,Adele,Detroit,19
edamame,bbno$ Feat. Rich Brian,Detroit,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Seattle,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Seattle,2
Pope Is A Rockstar,SALES,Seattle,3
Super Gremlin,Kodak Black,Seattle,4
Heat Waves,Glass Animals,Seattle,5
Big Energy,Latto,Seattle,6
Shivers,Ed Sheeran,Seattle,7
Better Days,"NEIKED, Mae Muller & Polo G",Seattle,8
Oh My God,Adele,Seattle,9
Need To Know,Doja Cat,Seattle,10
One Right Now,Post Malone & The Weeknd,Seattle,11
INDUSTRY BABY,Lil Nas X & Jack Harlow,Seattle,12
abcdefu,GAYLE,Seattle,13
Beggin,Måneskin,Seattle,14
Easy On Me,Adele,Seattle,15
Happier Than Ever,Billie Eilish,Seattle,16
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,Seattle,17
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",Seattle,18
Have Mercy,Chlöe,Seattle,19
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Seattle,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,San Antonio,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,San Antonio,2
Pope Is A Rockstar,SALES,San Antonio,3
Pepas,Farruko,San Antonio,4
Big Energy,Latto,San Antonio,5
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,San Antonio,6
Super Gremlin,Kodak Black,San Antonio,7
Scorpio,Moneybagg Yo,San Antonio,8
Hello It's Me,Todd Rundgren,San Antonio,9
INDUSTRY BABY,Lil Nas X & Jack Harlow,San Antonio,10
Need To Know,Doja Cat,San Antonio,11
One Right Now,Post Malone & The Weeknd,San Antonio,12
I'll Think About You,We Are Messengers,San Antonio,13
Have Mercy,Chlöe,San Antonio,14
Heat Waves,Glass Animals,San Antonio,15
Shivers,Ed Sheeran,San Antonio,16
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",San Antonio,17
Beggin,Måneskin,San Antonio,18
Stay,The Kid LAROI & Justin Bieber,San Antonio,19
For Tonight,GIVĒON,San Antonio,20
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Orlando,1
Pepas,Farruko,Orlando,2
Super Gremlin,Kodak Black,Orlando,3
Shivers,Ed Sheeran,Orlando,4
Pope Is A Rockstar,SALES,Orlando,5
Do It to It,Acraze Feat. Cherish,Orlando,6
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,Orlando,7
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Orlando,8
Easy On Me,Adele,Orlando,9
Heat Waves,Glass Animals,Orlando,10
For Tonight,GIVĒON,Orlando,11
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Orlando,12
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,Orlando,13
Need To Know,Doja Cat,Orlando,14
abcdefu,GAYLE,Orlando,15
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Orlando,16
Scorpio,Moneybagg Yo,Orlando,17
Happier Than Ever,Billie Eilish,Orlando,18
Better Days,"NEIKED, Mae Muller & Polo G",Orlando,19
Big Energy,Latto,Orlando,20
