geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.396957839 37.7963468599),37.79634686,-122.3969578,2010,"{""type"":""Point"",""coordinates"":[-122.396957839,37.7963468599]}",0,1,0,0,0,0,0,1,0,0,0,0,"['DRUMM ST', 'WASHINGTON ST']",0,1,0,0,0,1
POINT(-122.396957839 37.7963468599),37.79634686,-122.3969578,2014,"{""type"":""Point"",""coordinates"":[-122.396957839,37.7963468599]}",1,0,0,0,0,1,0,0,0,0,0,0,"['DRUMM ST', 'WASHINGTON ST']",1,0,0,1,0,0
POINT(-122.396957839 37.7963468599),37.79634686,-122.3969578,2016,"{""type"":""Point"",""coordinates"":[-122.396957839,37.7963468599]}",0,2,0,0,0,0,1,1,0,0,0,0,"['DRUMM ST', 'WASHINGTON ST']",0,2,0,0,1,1
POINT(-122.396957839 37.7963468599),37.79634686,-122.3969578,2017,"{""type"":""Point"",""coordinates"":[-122.396957839,37.7963468599]}",1,0,0,0,1,0,0,0,0,0,0,0,"['DRUMM ST', 'WASHINGTON ST']",1,0,1,0,0,0
POINT(-122.397034795 37.7893326526),37.78933265,-122.3970348,2007,"{""type"":""Point"",""coordinates"":[-122.397034795,37.7893326526]}",1,0,0,0,0,1,0,0,0,0,0,0,"['01ST ST', 'MINNA ST']",1,0,0,1,0,0
POINT(-122.397034795 37.7893326526),37.78933265,-122.3970348,2008,"{""type"":""Point"",""coordinates"":[-122.397034795,37.7893326526]}",0,1,0,0,0,0,1,0,0,0,0,0,"['01ST ST', 'MINNA ST']",0,1,0,0,1,0
POINT(-122.397137098 37.7972436273),37.79724363,-122.3971371,2009,"{""type"":""Point"",""coordinates"":[-122.397137098,37.7972436273]}",1,0,0,0,0,1,0,0,0,0,0,0,"['DRUMM ST', 'JACKSON ST']",1,0,0,1,0,0
POINT(-122.397137098 37.7972436273),37.79724363,-122.3971371,2012,"{""type"":""Point"",""coordinates"":[-122.397137098,37.7972436273]}",2,1,0,0,1,1,0,1,0,0,0,0,"['DRUMM ST', 'JACKSON ST']",2,1,1,1,0,1
POINT(-122.397137098 37.7972436273),37.79724363,-122.3971371,2014,"{""type"":""Point"",""coordinates"":[-122.397137098,37.7972436273]}",1,0,0,0,0,1,0,0,0,0,0,0,"['DRUMM ST', 'JACKSON ST']",1,0,0,1,0,0
POINT(-122.397176877 37.7299098835),37.72990988,-122.3971769,2016,"{""type"":""Point"",""coordinates"":[-122.397176877,37.7299098835]}",1,0,0,0,0,1,0,0,0,0,0,0,"['NEPTUNE ST', 'WILLIAMS AVE']",1,0,0,1,0,0
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2007,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",1,0,0,0,0,1,0,0,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",1,0,0,1,0,0
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2009,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",1,0,0,0,0,1,0,0,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",1,0,0,1,0,0
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2010,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",1,0,0,0,0,1,0,0,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",1,0,0,1,0,0
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2011,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",1,1,0,0,0,1,0,1,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",1,1,0,1,0,1
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2014,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",0,1,0,0,0,0,0,1,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",0,1,0,0,0,1
POINT(-122.397206309 37.775332244),37.77533224,-122.3972063,2017,"{""type"":""Point"",""coordinates"":[-122.397206309,37.775332244]}",0,1,0,0,0,0,0,1,0,0,0,0,"['05TH ST', 'TOWNSEND ST']",0,1,0,0,0,1
POINT(-122.397207626 37.7814683248),37.78146832,-122.3972076,2006,"{""type"":""Point"",""coordinates"":[-122.397207626,37.7814683248]}",1,1,0,0,0,1,1,0,0,0,0,0,"['I-80 W OFF RAMP', 'I-80 WESTBOUND']",1,1,0,1,1,0
POINT(-122.397207626 37.7814683248),37.78146832,-122.3972076,2016,"{""type"":""Point"",""coordinates"":[-122.397207626,37.7814683248]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-80 W OFF RAMP', 'I-80 WESTBOUND']",0,1,0,0,1,0
POINT(-122.397285416 37.7496846229),37.74968462,-122.3972854,2009,"{""type"":""Point"",""coordinates"":[-122.397285416,37.7496846229]}",1,0,0,0,0,1,0,0,0,0,0,0,"['CESAR CHAVEZ ST', 'EVANS AVE']",1,0,0,1,0,0
POINT(-122.397285416 37.7496846229),37.74968462,-122.3972854,2010,"{""type"":""Point"",""coordinates"":[-122.397285416,37.7496846229]}",1,0,0,0,1,0,0,0,0,0,0,0,"['CESAR CHAVEZ ST', 'EVANS AVE']",1,0,1,0,0,0
POINT(-122.397285416 37.7496846229),37.74968462,-122.3972854,2011,"{""type"":""Point"",""coordinates"":[-122.397285416,37.7496846229]}",1,0,0,0,1,0,0,0,0,0,0,0,"['CESAR CHAVEZ ST', 'EVANS AVE']",1,0,1,0,0,0
POINT(-122.397285416 37.7496846229),37.74968462,-122.3972854,2017,"{""type"":""Point"",""coordinates"":[-122.397285416,37.7496846229]}",2,0,0,0,2,0,0,0,0,0,0,0,"['CESAR CHAVEZ ST', 'EVANS AVE']",2,0,2,0,0,0
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2006,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",1,3,0,0,0,1,1,2,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",1,3,0,1,1,2
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2007,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,1,0,0,0,0,1,0,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,1,0,0,1,0
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2010,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",1,1,0,0,1,0,1,0,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",1,1,1,0,1,0
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2011,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,1,0,0,0,0,1,0,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,1,0,0,1,0
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2012,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,3,0,1,0,0,0,3,0,0,0,1,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,2,0,0,0,2
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2014,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,1,0,0,0,0,0,1,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,1,0,0,0,1
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2015,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,4,0,0,0,0,0,4,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,4,0,0,0,4
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2016,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",0,1,0,0,0,0,0,1,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",0,1,0,0,0,1
POINT(-122.397383446 37.7924055215),37.79240552,-122.3973834,2017,"{""type"":""Point"",""coordinates"":[-122.397383446,37.7924055215]}",2,0,0,0,1,1,0,0,0,0,0,0,"['BEALE ST', 'DAVIS ST', 'MARKET ST', 'PINE ST']",2,0,1,1,0,0
POINT(-122.397385538 37.782553593),37.78255359,-122.3973855,2007,"{""type"":""Point"",""coordinates"":[-122.397385538,37.782553593]}",0,3,0,0,0,0,3,0,0,0,0,0,"['03RD ST', 'HARRISON ST']",0,3,0,0,3,0
POINT(-122.397385538 37.782553593),37.78255359,-122.3973855,2009,"{""type"":""Point"",""coordinates"":[-122.397385538,37.782553593]}",1,2,0,0,0,1,2,0,0,0,0,0,"['03RD ST', 'HARRISON ST']",1,2,0,1,2,0
POINT(-122.397385538 37.782553593),37.78255359,-122.3973855,2010,"{""type"":""Point"",""coordinates"":[-122.397385538,37.782553593]}",0,1,0,0,0,0,0,1,0,0,0,0,"['03RD ST', 'HARRISON ST']",0,1,0,0,0,1
POINT(-122.397385538 37.782553593),37.78255359,-122.3973855,2011,"{""type"":""Point"",""coordinates"":[-122.397385538,37.782553593]}",0,3,0,0,0,0,0,3,0,0,0,0,"['03RD ST', 'HARRISON ST']",0,3,0,0,0,3
